MODULE,CC,CALL,LOC,BUG
24972,5,2,24,0
24973,4,3,31,1
24974,5,1,29,1
24975,1,2,7,0
24976,2,2,12,0
24977,13,13,106,0
24978,3,2,15,0
24979,5,5,25,0
24980,15,0,46,0
24981,5,2,34,0
24982,2,0,10,0
24983,7,0,23,0
24984,7,0,23,0
24985,5,4,31,0
24986,5,6,24,0
24987,2,1,13,0
24988,1,1,6,0
24989,2,1,33,0
24990,1,1,6,0
24991,5,0,41,0
24992,4,0,21,0
24993,41,9,177,0
24994,5,2,14,0
24995,70,26,361,0
24996,13,11,76,0
24997,1,1,31,0
24998,3,1,20,0
24999,5,3,27,0
25000,3,7,15,0
25001,4,3,13,0
25002,3,4,25,0
25003,4,5,22,0
25004,6,4,28,0
25005,2,1,18,0
25006,5,3,24,0
25007,5,4,38,0
25008,5,5,31,0
25009,37,5,196,1
25010,6,10,32,0
25011,10,5,71,1
25012,2,2,15,1
25013,9,4,62,0
25014,6,12,41,0
25015,2,2,8,0
25016,4,2,25,0
25017,13,10,143,1
25018,3,3,17,0
25019,1,1,8,0
25020,4,2,18,0
25021,6,5,33,1
25022,4,3,92,1
25023,7,5,44,1
25024,1,2,6,0
25025,7,7,48,0
25026,10,6,127,0
25027,4,9,21,0
25028,12,2,65,0
25029,2,2,32,0
25030,5,7,23,0
25031,2,0,8,0
25032,11,8,63,0
25033,4,4,22,0
25034,7,4,36,0
25035,2,1,23,0
25036,5,3,20,0
25037,4,3,17,0
25038,15,7,73,0
25039,2,1,6,0
25040,4,5,17,0
25041,13,7,64,0
25042,4,1,20,0
25043,6,1,24,0
25044,6,1,24,0
25045,3,0,9,0
25046,5,0,9,0
25047,3,0,9,0
25048,1,0,12,1
25049,1,0,12,1
25050,2,0,14,0
25051,5,8,60,0
25052,1,1,10,0
25053,3,2,16,0
25054,2,2,12,0
25055,2,0,13,0
25056,30,25,133,1
25057,2,3,16,0
25058,4,2,27,0
25059,5,2,31,0
25060,1,0,10,0
25061,5,3,37,0
25062,1,0,8,0
25063,1,0,8,0
25064,1,0,9,0
25065,1,0,9,0
25066,1,0,7,0
25067,4,1,26,0
25068,1,0,7,0
25069,1,0,14,0
25070,1,0,9,0
25071,1,0,11,0
25072,6,1,34,0
25073,1,0,7,0
25074,7,5,31,0
25075,1,0,8,0
25076,1,0,6,0
