MODULE,LOC,CC,CALL,BUG
24972,24,5,2,0
24973,31,4,3,1
24974,29,5,1,1
24975,7,1,2,0
24976,12,2,2,0
24977,106,13,13,0
24978,15,3,2,0
24979,25,5,5,0
24980,46,15,0,0
24981,34,5,2,0
24982,10,2,0,0
24983,23,7,0,0
24984,23,7,0,0
24985,31,5,4,0
24986,24,5,6,0
24987,13,2,1,0
24988,6,1,1,0
24989,33,2,1,0
24990,6,1,1,0
24991,41,5,0,0
24992,21,4,0,0
24993,177,41,9,0
24994,14,5,2,0
24995,361,70,26,0
24996,76,13,11,0
24997,31,1,1,0
24998,20,3,1,0
24999,27,5,3,0
25000,15,3,7,0
25001,13,4,3,0
25002,25,3,4,0
25003,22,4,5,0
25004,28,6,4,0
25005,18,2,1,0
25006,24,5,3,0
25007,38,5,4,0
25008,31,5,5,0
25009,196,37,5,1
25010,32,6,10,0
25011,71,10,5,1
25012,15,2,2,1
25013,62,9,4,0
25014,41,6,12,0
25015,8,2,2,0
25016,25,4,2,0
25017,143,13,10,1
25018,17,3,3,0
25019,8,1,1,0
25020,18,4,2,0
25021,33,6,5,1
25022,92,4,3,1
25023,44,7,5,1
25024,6,1,2,0
25025,48,7,7,0
25026,127,10,6,0
25027,21,4,9,0
25028,65,12,2,0
25029,32,2,2,0
25030,23,5,7,0
25031,8,2,0,0
25032,63,11,8,0
25033,22,4,4,0
25034,36,7,4,0
25035,23,2,1,0
25036,20,5,3,0
25037,17,4,3,0
25038,73,15,7,0
25039,6,2,1,0
25040,17,4,5,0
25041,64,13,7,0
25042,20,4,1,0
25043,24,6,1,0
25044,24,6,1,0
25045,9,3,0,0
25046,9,5,0,0
25047,9,3,0,0
25048,12,1,0,1
25049,12,1,0,1
25050,14,2,0,0
25051,60,5,8,0
25052,10,1,1,0
25053,16,3,2,0
25054,12,2,2,0
25055,13,2,0,0
25056,133,30,25,1
25057,16,2,3,0
25058,27,4,2,0
25059,31,5,2,0
25060,10,1,0,0
25061,37,5,3,0
25062,8,1,0,0
25063,8,1,0,0
25064,9,1,0,0
25065,9,1,0,0
25066,7,1,0,0
25067,26,4,1,0
25068,7,1,0,0
25069,14,1,0,0
25070,9,1,0,0
25071,11,1,0,0
25072,34,6,1,0
25073,7,1,0,0
25074,31,7,5,0
25075,8,1,0,0
25076,6,1,0,0
25077,7,1,0,0
25078,15,2,0,0
25079,16,1,0,0
25080,19,1,0,0
25081,15,4,2,0
25082,130,29,13,0
25083,30,4,8,0
25084,34,6,8,0
25085,59,9,7,0
25086,16,4,1,0
25087,65,12,1,0
25088,8,1,1,0
25089,91,20,6,1
25090,20,3,3,0
25091,6,1,0,0
25092,58,10,0,1
25093,50,15,0,0
25094,12,3,0,0
25095,93,17,7,0
25096,69,19,6,0
25097,16,3,0,0
25098,20,3,0,0
25099,154,17,16,0
25100,72,16,3,0
25101,125,18,10,0
25102,6,1,0,0
25103,29,5,2,0
25104,18,3,1,0
25105,55,11,7,0
25106,47,3,2,0
25107,32,6,2,0
25108,21,3,4,0
25109,14,2,0,0
25110,21,3,6,0
25111,28,3,4,1
25112,10,1,0,0
25113,6,1,0,0
25114,12,1,0,0
25115,18,2,3,0
25116,36,4,5,0
25117,160,32,13,0
25118,149,20,12,1
25119,411,73,24,1
25120,6,1,0,0
25121,6,1,0,0
25122,6,1,0,0
25123,12,1,0,0
25124,12,1,0,0
25125,9,1,0,0
25126,6,1,0,0
25127,6,1,0,0
25128,6,1,0,0
25129,121,15,5,1
25130,12,1,0,0
25131,12,1,0,0
25132,6,1,0,0
25133,6,1,0,0
25134,6,1,0,0
25135,6,1,0,0
25136,6,1,0,0
25137,6,1,0,0
25138,6,1,0,0
25139,13,2,0,0
25140,6,1,0,0
25141,128,25,8,0
25142,20,5,0,0
25143,27,6,3,0
25144,3,1,0,0
25145,47,10,4,0
25146,16,3,9,0
25147,15,1,2,0
25148,13,1,1,0
25149,41,4,4,0
25150,14,2,0,0
25151,14,2,0,0
25152,27,3,4,0
25153,21,2,2,0
25154,6,1,1,0
25155,16,3,1,0
25156,55,9,3,0
25157,22,5,3,0
25158,6,1,0,0
25159,9,1,0,0
25160,79,12,10,1
25161,138,25,2,0
25162,11,1,0,0
25163,23,4,9,0
25164,17,1,3,0
25165,60,13,5,0
25166,32,5,4,0
25167,28,3,5,0
25168,41,4,5,1
25169,19,2,4,0
25170,19,2,4,0
25171,38,4,7,0
25172,41,2,14,0
25173,30,2,9,0
25174,149,15,8,0
25175,19,2,4,0
25176,130,20,12,1
25177,57,9,6,1
25178,42,2,4,0
25179,14,2,2,0
25180,22,2,5,0
25181,27,3,0,0
25182,8,1,0,0
